nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17112,FR*SOD*S*MB17*1*1*_*_,SAUJON - PLACE RICHELIEU,Voirie,PLACE RICHELIEU,17600,"[45.676244,-0.925464]",2,FRS17EMB17112,FR*SOD*E*MB17*1*1*2*_,50000,false,false,false,true,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17111,FR*SOD*S*MB17*1*1*_*_,SAUJON - PLACE RICHELIEU,Voirie,PLACE RICHELIEU,17600,"[45.676244,-0.925464]",2,FRS17EMB17111,FR*SOD*E*MB17*1*1*1*_,43000,false,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17112,FR*SOD*S*MB17*1*1*_*_,SAUJON - PLACE RICHELIEU,Voirie,PLACE RICHELIEU,17600,"[45.676244,-0.925464]",2,FRS17EMB17112,FR*SOD*E*MB17*1*1*2*_,50000,false,false,true,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17212,FR*SOD*S*MB17*2*1*_*_,SURGERES - PLACE DU CHATEAU,Voirie,PLACE DU CHÂTEAU,17700,"[46.104744,-0.752427]",2,FRS17EMB17212,FR*SOD*E*MB17*2*1*2*_,50000,false,false,false,true,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17212,FR*SOD*S*MB17*2*1*_*_,SURGERES - PLACE DU CHATEAU,Voirie,PLACE DU CHÂTEAU,17700,"[46.104744,-0.752427]",2,FRS17EMB17212,FR*SOD*E*MB17*2*1*2*_,50000,false,false,true,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17211,FR*SOD*S*MB17*2*1*_*_,SURGERES - PLACE DU CHATEAU,Voirie,PLACE DU CHÂTEAU,17700,"[46.104744,-0.752427]",2,FRS17EMB17211,FR*SOD*E*MB17*2*1*1*_,43000,false,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17312,FR*SOD*S*MB17*3*1*_*_,MONTLIEU LA GARDE - MAISON DE LA FORET,Voirie,MAISON DE LA FORÊT,17210,"[45.243315,-0.272705]",2,FRS17EMB17312,FR*SOD*E*MB17*3*1*2*_,50000,false,false,true,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17312,FR*SOD*S*MB17*3*1*_*_,MONTLIEU LA GARDE - MAISON DE LA FORET,Voirie,MAISON DE LA FORÊT,17210,"[45.243315,-0.272705]",2,FRS17EMB17312,FR*SOD*E*MB17*3*1*2*_,50000,false,false,false,true,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17311,FR*SOD*S*MB17*3*1*_*_,MONTLIEU LA GARDE - MAISON DE LA FORET,Voirie,MAISON DE LA FORÊT,17210,"[45.243315,-0.272705]",2,FRS17EMB17311,FR*SOD*E*MB17*3*1*1*_,43000,false,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-05-28,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
MOBIVE - SDEER 17,251702197,f-a.de-ferrieres@sdeer17.fr,Izivia,sav@izivia.com,0972668001,MOBIVE - SDEER 17,FRS17PMB17411,FR*SOD*S*MB17*4*1*_*_,SAINTES - ZI DE LORMEAU DE PIED,Voirie,ZI DE LORMEAU DE PIED,17100,"[45.747971,-0.663373]",1,FRS17EMB17411,FR*SOD*E*MB17*4*1*1*_,22000,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2020-06-08,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-04-03
